osu file format v14

[General]
AudioFilename: Canon (blazing summer mix).mp3
AudioLeadIn: 0
PreviewTime: 52965
Countdown: 0
SampleSet: Soft
StackLeniency: 0.7
Mode: 3
LetterboxInBreaks: 1
SpecialStyle: 0
WidescreenStoryboard: 1

[Editor]
DistanceSpacing: 1.2
BeatDivisor: 4
GridSize: 16
TimelineZoom: 1.1

[Metadata]
Title:6K Starter Practice Pack
TitleUnicode:6K Starter Practice Pack
Artist:Various Artists
ArtistUnicode:Various Artists
Creator:QQwiwi2012
Version:[4] Uesugi Uta with HoshiA - Canon (blazing summer mix)
Source:
Tags:itg in the groove kyle ward bms Lagoona Always in my Uniq Amore DJ Doo Do U Love Me Cyrex Starfield Missing Heart Charlene Banzai Zodiac カラフル・サウンズ・ポート CHERRY DOLL Colorful Sounds Port Hands up! Digital Explosion Mythology 上杉うた with 星明 Canon (blazing summer mix) celas with StarL Vanilla Ninja Tough Enough The Beginning Queen of Light Smiley Fantasia Andreas Viklund Sweet Things Xacla a.k.a. fen deep blue sunrise anubasu-anubasu The Island of Albatross Nina Let My Go Blind KaW Kagami E-Rotic Touch Me Erotic Twilight white crystal sensitive Shiraishi horizon しらいし Lemmings on the Run Oasis F Rabbeat The Universe Festival MD10 Junk Qualia SHANADOO King Kong Land of imagination 梅干茶漬け Galaxy in Toybox Umeboshi Chazuke kozato D-period -moonlit world line- Nick Furry vs. 悪いケモノ-A 蝎虎天体 Warui Kemono-A Lacertid Mind Reflection Da Roots (Folk YOASOBI 夜に駆ける Yoru ni Kakeru Rochelle Mouth BeautifulDay Feel The O2Jam! in Belize Crispy Bubble Dancer Lime Daydreamer SHK 月哀月夜 Sad of the Moon Night of the
BeatmapID:3347788
BeatmapSetID:1640166

[Difficulty]
HPDrainRate:6
CircleSize:6
OverallDifficulty:6
ApproachRate:5
SliderMultiplier:1.4
SliderTickRate:1

[Events]
//Background and Video events
0,0,"Canon (blazing summer mix).jpg",0,0
//Break Periods
//Storyboard Layer 0 (Background)
//Storyboard Layer 1 (Fail)
//Storyboard Layer 2 (Pass)
//Storyboard Layer 3 (Foreground)
//Storyboard Layer 4 (Overlay)
//Storyboard Sound Samples
Sample,9931,0,"strings1_d3.wav",70
Sample,9931,0,"bass_d1.wav",70
Sample,10344,0,"bass_d1.wav",70
Sample,10758,0,"bass_a0.wav",70
Sample,10758,0,"strings1_a2.wav",70
Sample,11172,0,"bass_a0.wav",70
Sample,11586,0,"strings1_b2.wav",70
Sample,11586,0,"bass_b0.wav",70
Sample,12000,0,"bass_b0.wav",70
Sample,12413,0,"bass_f#0.wav",70
Sample,12413,0,"strings1_f#2.wav",70
Sample,12827,0,"bass_f#0.wav",70
Sample,13241,0,"bass_g0.wav",70
Sample,13241,0,"strings1_g2.wav",70
Sample,13655,0,"bass_g0.wav",70
Sample,14068,0,"bass_d0.wav",70
Sample,14068,0,"strings1_d2.wav",70
Sample,14482,0,"bass_d0.wav",70
Sample,14896,0,"bass_g0.wav",70
Sample,14896,0,"strings1_g2.wav",70
Sample,15310,0,"bass_g0.wav",70
Sample,15724,0,"bass_a0.wav",70
Sample,15724,0,"strings1_a2.wav",70
Sample,16137,0,"bass_a0.wav",70
Sample,16551,0,"bass_d1.wav",70
Sample,16551,0,"strings1_d3.wav",70
Sample,16551,0,"hat-1.wav",70
Sample,16758,0,"bass_d2.wav",70
Sample,16965,0,"bass_d1.wav",70
Sample,16965,0,"hat-1.wav",70
Sample,17172,0,"bass_d2.wav",70
Sample,17379,0,"bass_a0.wav",70
Sample,17379,0,"strings1_a2.wav",70
Sample,17379,0,"hat-1.wav",70
Sample,17586,0,"bass_a1.wav",70
Sample,17793,0,"bass_a0.wav",70
Sample,17793,0,"hat-1.wav",70
Sample,18000,0,"bass_a1.wav",70
Sample,18206,0,"hat-1.wav",70
Sample,18206,0,"strings1_b2.wav",70
Sample,18206,0,"bass_b0.wav",70
Sample,18413,0,"bass_b1.wav",70
Sample,18620,0,"hat-1.wav",70
Sample,18620,0,"bass_b0.wav",70
Sample,18827,0,"bass_b1.wav",70
Sample,19034,0,"strings1_f#2.wav",70
Sample,19034,0,"hat-1.wav",70
Sample,19034,0,"bass_f#0.wav",70
Sample,19241,0,"bass_f#1.wav",70
Sample,19448,0,"bass_f#0.wav",70
Sample,19655,0,"bass_f#1.wav",70
Sample,19862,0,"hat-1.wav",70
Sample,19862,0,"strings1_g2.wav",70
Sample,19862,0,"bass_g0.wav",70
Sample,20068,0,"bass_g1.wav",70
Sample,20275,0,"hat-1.wav",70
Sample,20275,0,"bass_g0.wav",70
Sample,20482,0,"bass_g1.wav",70
Sample,20689,0,"hat-1.wav",70
Sample,20689,0,"strings1_d2.wav",70
Sample,20689,0,"bass_d0.wav",70
Sample,20896,0,"bass_d1-2.wav",70
Sample,21103,0,"hat-1.wav",70
Sample,21103,0,"bass_d0.wav",70
Sample,21310,0,"bass_d1-2.wav",70
Sample,21517,0,"hat-1.wav",70
Sample,21517,0,"strings1_g2.wav",70
Sample,21517,0,"bass_g0.wav",70
Sample,21724,0,"bass_g1.wav",70
Sample,21931,0,"hat-1.wav",70
Sample,21931,0,"bass_g0.wav",70
Sample,22137,0,"bass_g1.wav",70
Sample,22344,0,"strings1_a2.wav",70
Sample,22344,0,"bass_a0.wav",70
Sample,22551,0,"bass_a1.wav",70
Sample,22758,0,"bass_a0.wav",70
Sample,22965,0,"bass_a1.wav",70
Sample,22965,0,"hat-2-2.wav",70
Sample,23068,0,"hat-2.wav",70
Sample,23172,0,"hat-1.wav",70
Sample,23172,0,"strings1_d3.wav",70
Sample,23172,0,"strings2_d4.wav",70
Sample,23172,0,"bass_d1.wav",70
Sample,23379,0,"bass_d2.wav",70
Sample,23586,0,"hat-1.wav",70
Sample,23586,0,"bass_d1.wav",70
Sample,23793,0,"bass_d2.wav",70
Sample,24000,0,"hat-1.wav",70
Sample,24000,0,"synth2-1-02.wav",70
Sample,24000,0,"strings1_a2.wav",70
Sample,24000,0,"bass_a0.wav",70
Sample,24206,0,"bass_a1.wav",70
Sample,24413,0,"hat-1.wav",70
Sample,24413,0,"bass_a0.wav",70
Sample,24620,0,"bass_a1.wav",70
Sample,24827,0,"hat-1.wav",70
Sample,24827,0,"strings1_b2.wav",70
Sample,24827,0,"synth2-1-03.wav",70
Sample,24827,0,"bass_b0.wav",70
Sample,25034,0,"bass_b1.wav",70
Sample,25241,0,"hat-1.wav",70
Sample,25241,0,"bass_b0.wav",70
Sample,25448,0,"bass_b1.wav",70
Sample,25655,0,"hat-1.wav",70
Sample,25655,0,"strings1_f#2.wav",70
Sample,25655,0,"synth2-1-04.wav",70
Sample,25655,0,"bass_f#0.wav",70
Sample,25862,0,"bass_f#1.wav",70
Sample,26068,0,"hat-1.wav",70
Sample,26068,0,"bass_f#0.wav",70
Sample,26275,0,"bass_f#1.wav",70
Sample,26482,0,"synth2-1-05.wav",70
Sample,26482,0,"bass_g0.wav",70
Sample,26482,0,"hat-1.wav",70
Sample,26482,0,"strings1_g2.wav",70
Sample,26689,0,"bass_g1.wav",70
Sample,26896,0,"bass_g0.wav",70
Sample,26896,0,"hat-1.wav",70
Sample,27103,0,"bass_g1.wav",70
Sample,27310,0,"synth2-1-06.wav",70
Sample,27310,0,"bass_d0.wav",70
Sample,27310,0,"strings1_d2.wav",70
Sample,27310,0,"hat-1.wav",70
Sample,27517,0,"bass_d1-2.wav",70
Sample,27724,0,"bass_d0.wav",70
Sample,27931,0,"bass_d1-2.wav",70
Sample,28137,0,"synth2-1-07.wav",70
Sample,28137,0,"bass_g0.wav",70
Sample,28137,0,"hat-1.wav",70
Sample,28137,0,"strings1_g2.wav",70
Sample,28344,0,"bass_g1.wav",70
Sample,28551,0,"bass_g0.wav",70
Sample,28551,0,"hat-1.wav",70
Sample,28758,0,"bass_g1.wav",70
Sample,28965,0,"synth2-4-c#4.wav",70
Sample,28965,0,"bass_a0.wav",70
Sample,28965,0,"hat-1.wav",70
Sample,28965,0,"strings1_a2.wav",70
Sample,29172,0,"bass_a1.wav",70
Sample,29379,0,"synth2-6_1-d3.wav",70
Sample,29379,0,"bass_a0.wav",70
Sample,29379,0,"hat-1.wav",70
Sample,29448,0,"synth2-6_1-e3.wav",70
Sample,29517,0,"synth2-6_1-f#3.wav",70
Sample,29586,0,"bass_a1.wav",70
Sample,29586,0,"synth2-6_1-g3.wav",70
Sample,29655,0,"synth2-6_1-b3.wav",70
Sample,29724,0,"synth2-6_1-c#4.wav",70
Sample,29793,0,"strings2_d4.wav",70
Sample,29793,0,"bass_d1.wav",70
Sample,29793,0,"hat-1.wav",70
Sample,29793,0,"strings1_d3.wav",70
Sample,30000,0,"bass_d2.wav",70
Sample,30206,0,"bass_d1.wav",70
Sample,30206,0,"hat-1.wav",70
Sample,30413,0,"bass_d2.wav",70
Sample,30620,0,"strings1_a2.wav",70
Sample,30620,0,"bass_a0.wav",70
Sample,30620,0,"hat-1.wav",70
Sample,30620,0,"strings2_c#4.wav",70
Sample,30827,0,"bass_a1.wav",70
Sample,31034,0,"bass_a0.wav",70
Sample,31034,0,"hat-1.wav",70
Sample,31241,0,"bass_a1.wav",70
Sample,31448,0,"strings2_b3.wav",70
Sample,31448,0,"bass_b0.wav",70
Sample,31448,0,"hat-1.wav",70
Sample,31448,0,"strings1_b2.wav",70
Sample,31655,0,"bass_b1.wav",70
Sample,31862,0,"bass_b0.wav",70
Sample,31862,0,"hat-1.wav",70
Sample,32068,0,"bass_b1.wav",70
Sample,32275,0,"strings1_f#2.wav",70
Sample,32275,0,"bass_f#0.wav",70
Sample,32275,0,"hat-1.wav",70
Sample,32275,0,"strings2_a3.wav",70
Sample,32482,0,"bass_f#1.wav",70
Sample,32689,0,"bass_f#0.wav",70
Sample,32689,0,"hat-1.wav",70
Sample,32896,0,"bass_f#1.wav",70
Sample,33103,0,"strings2_g3.wav",70
Sample,33103,0,"bass_g0.wav",70
Sample,33103,0,"hat-1.wav",70
Sample,33103,0,"strings1_g2.wav",70
Sample,33310,0,"bass_g1.wav",70
Sample,33517,0,"bass_g0.wav",70
Sample,33517,0,"hat-1.wav",70
Sample,33724,0,"bass_g1.wav",70
Sample,33931,0,"strings2_f#3.wav",70
Sample,33931,0,"bass_d0.wav",70
Sample,33931,0,"hat-1.wav",70
Sample,33931,0,"strings1_d2.wav",70
Sample,34137,0,"bass_d1-2.wav",70
Sample,34344,0,"bass_d0.wav",70
Sample,34344,0,"hat-1.wav",70
Sample,34551,0,"bass_d1-2.wav",70
Sample,34758,0,"strings2_g3.wav",70
Sample,34758,0,"bass_g0.wav",70
Sample,34758,0,"hat-1.wav",70
Sample,34758,0,"strings1_g2.wav",70
Sample,34965,0,"bass_g1.wav",70
Sample,35172,0,"bass_g0.wav",70
Sample,35172,0,"hat-1.wav",70
Sample,35379,0,"bass_g1.wav",70
Sample,35586,0,"strings2_e3.wav",70
Sample,35586,0,"bass_a0.wav",70
Sample,35586,0,"hat-1.wav",70
Sample,35586,0,"strings1_a2.wav",70
Sample,35793,0,"bass_a1.wav",70
Sample,36000,0,"bass_a0.wav",70
Sample,36000,0,"hat-1.wav",70
Sample,36206,0,"bass_a1.wav",70
Sample,36413,0,"strings2_d4.wav",70
Sample,36413,0,"bass_d1.wav",70
Sample,36413,0,"hat-1.wav",70
Sample,36413,0,"strings1_d3.wav",70
Sample,36620,0,"hat-2.wav",70
Sample,36620,0,"bass_d2.wav",70
Sample,36827,0,"bass_d1.wav",70
Sample,36827,0,"hat-1.wav",70
Sample,37034,0,"hat-2.wav",70
Sample,37034,0,"bass_d2.wav",70
Sample,37241,0,"hat-1.wav",70
Sample,37241,0,"bass_a0.wav",70
Sample,37241,0,"strings1_a2.wav",70
Sample,37241,0,"strings2_c#4.wav",70
Sample,37448,0,"hat-2.wav",70
Sample,37448,0,"bass_a1.wav",70
Sample,37655,0,"bass_a0.wav",70
Sample,37655,0,"hat-1.wav",70
Sample,37862,0,"hat-2.wav",70
Sample,37862,0,"bass_a1.wav",70
Sample,38068,0,"hat-1.wav",70
Sample,38068,0,"strings1_b2.wav",70
Sample,38068,0,"strings2_b3.wav",70
Sample,38068,0,"bass_b0.wav",70
Sample,38275,0,"bass_b1.wav",70
Sample,38275,0,"hat-2.wav",70
Sample,38482,0,"hat-1.wav",70
Sample,38482,0,"bass_b0.wav",70
Sample,38689,0,"bass_b1.wav",70
Sample,38689,0,"hat-2.wav",70
Sample,38896,0,"strings2_a3.wav",70
Sample,38896,0,"strings1_f#2.wav",70
Sample,38896,0,"hat-1.wav",70
Sample,38896,0,"bass_f#0.wav",70
Sample,39103,0,"bass_f#1.wav",70
Sample,39103,0,"hat-2.wav",70
Sample,39310,0,"hat-1.wav",70
Sample,39310,0,"bass_f#0.wav",70
