osu file format v14

[General]
AudioFilename: D-period -moonlit world line-.mp3
AudioLeadIn: 0
PreviewTime: 54620
Countdown: 0
SampleSet: Soft
StackLeniency: 0.7
Mode: 3
LetterboxInBreaks: 1
SpecialStyle: 0
WidescreenStoryboard: 1

[Editor]
DistanceSpacing: 1.2
BeatDivisor: 4
GridSize: 16
TimelineZoom: 1.5

[Metadata]
Title:6K Starter Practice Pack
TitleUnicode:6K Starter Practice Pack
Artist:Various Artists
ArtistUnicode:Various Artists
Creator:QQwiwi2012
Version:[9] kozato - D-period -moonlit world line-
Source:
Tags:itg in the groove kyle ward bms Lagoona Always in my Uniq Amore DJ Doo Do U Love Me Cyrex Starfield Missing Heart Charlene Banzai Zodiac カラフル・サウンズ・ポート CHERRY DOLL Colorful Sounds Port Hands up! Digital Explosion Mythology 上杉うた with 星明 Canon (blazing summer mix) celas with StarL Vanilla Ninja Tough Enough The Beginning Queen of Light Smiley Fantasia Andreas Viklund Sweet Things Xacla a.k.a. fen deep blue sunrise anubasu-anubasu The Island of Albatross Nina Let My Go Blind KaW Kagami E-Rotic Touch Me Erotic Twilight white crystal sensitive Shiraishi horizon しらいし Lemmings on the Run Oasis F Rabbeat The Universe Festival MD10 Junk Qualia SHANADOO King Kong Land of imagination 梅干茶漬け Galaxy in Toybox Umeboshi Chazuke kozato D-period -moonlit world line- Nick Furry vs. 悪いケモノ-A 蝎虎天体 Warui Kemono-A Lacertid Mind Reflection Da Roots (Folk YOASOBI 夜に駆ける Yoru ni Kakeru Rochelle Mouth BeautifulDay Feel The O2Jam! in Belize Crispy Bubble Dancer Lime Daydreamer SHK 月哀月夜 Sad of the Moon Night of the
BeatmapID:3347771
BeatmapSetID:1640166

[Difficulty]
HPDrainRate:7
CircleSize:6
OverallDifficulty:7
ApproachRate:5
SliderMultiplier:1.4
SliderTickRate:1

[Events]
//Background and Video events
0,0,"D-period -moonlit world line-.png",0,0
//Break Periods
//Storyboard Layer 0 (Background)
//Storyboard Layer 1 (Fail)
//Storyboard Layer 2 (Pass)
//Storyboard Layer 3 (Foreground)
//Storyboard Layer 4 (Overlay)
//Storyboard Sound Samples
Sample,1655,0,"02_sy_bass_03.ogg",70
Sample,1655,0,"08a_sy_bass_01.ogg",70
Sample,1655,0,"10_drums_kick.ogg",70
Sample,1655,0,"04b_pp_03.ogg",70
Sample,1655,0,"08b_sy_bass_01.ogg",70
Sample,1655,0,"04a_pp_01.ogg",70
Sample,1655,0,"12_ws.ogg",70
Sample,1758,0,"08b_sy_bass_02.ogg",70
Sample,1758,0,"08a_sy_bass_02.ogg",70
Sample,1862,0,"08a_sy_bass_03.ogg",70
Sample,1862,0,"08b_sy_bass_03.ogg",70
Sample,1965,0,"08b_sy_bass_04.ogg",70
Sample,1965,0,"08a_sy_bass_04.ogg",70
Sample,2068,0,"08b_sy_bass_05.ogg",70
Sample,2068,0,"10_drums_kick.ogg",70
Sample,2068,0,"08a_sy_bass_05.ogg",70
Sample,2068,0,"02_sy_bass_03.ogg",70
Sample,2275,0,"08a_sy_bass_06.ogg",70
Sample,2275,0,"08b_sy_bass_06.ogg",70
Sample,2379,0,"08b_sy_bass_07.ogg",70
Sample,2379,0,"08a_sy_bass_07.ogg",70
Sample,2482,0,"02_sy_bass_03.ogg",70
Sample,2482,0,"10_drums_kick.ogg",70
Sample,2586,0,"08b_sy_bass_08.ogg",70
Sample,2586,0,"08a_sy_bass_08.ogg",70
Sample,2689,0,"08a_sy_bass_09.ogg",70
Sample,2689,0,"08b_sy_bass_09.ogg",70
Sample,2793,0,"08b_sy_bass_10.ogg",70
Sample,2793,0,"08a_sy_bass_10.ogg",70
Sample,2896,0,"02_sy_bass_03.ogg",70
Sample,2896,0,"08a_sy_bass_11.ogg",70
Sample,2896,0,"08b_sy_bass_11.ogg",70
Sample,2896,0,"10_drums_kick.ogg",70
Sample,3000,0,"08b_sy_bass_12.ogg",70
Sample,3000,0,"08a_sy_bass_12.ogg",70
Sample,3103,0,"08a_sy_bass_13.ogg",70
Sample,3103,0,"08b_sy_bass_13.ogg",70
Sample,3206,0,"08a_sy_bass_14.ogg",70
Sample,3206,0,"08b_sy_bass_14.ogg",70
Sample,3310,0,"08a_sy_bass_15.ogg",70
Sample,3310,0,"02_sy_bass_04.ogg",70
Sample,3310,0,"10_drums_kick.ogg",70
Sample,3310,0,"08b_sy_bass_15.ogg",70
Sample,3310,0,"04b_pp_04.ogg",70
Sample,3310,0,"04a_pp_02.ogg",70
Sample,3413,0,"08b_sy_bass_16.ogg",70
Sample,3413,0,"08a_sy_bass_16.ogg",70
Sample,3517,0,"08b_sy_bass_17.ogg",70
Sample,3517,0,"08a_sy_bass_17.ogg",70
Sample,3620,0,"08b_sy_bass_18.ogg",70
Sample,3620,0,"08a_sy_bass_18.ogg",70
Sample,3724,0,"08a_sy_bass_19.ogg",70
Sample,3724,0,"02_sy_bass_04.ogg",70
Sample,3724,0,"08b_sy_bass_19.ogg",70
Sample,3724,0,"10_drums_kick.ogg",70
Sample,3931,0,"08a_sy_bass_20.ogg",70
Sample,3931,0,"08b_sy_bass_20.ogg",70
Sample,4034,0,"08a_sy_bass_21.ogg",70
Sample,4034,0,"08b_sy_bass_21.ogg",70
Sample,4137,0,"10_drums_kick.ogg",70
Sample,4137,0,"02_sy_bass_04.ogg",70
Sample,4241,0,"08b_sy_bass_22.ogg",70
Sample,4241,0,"08a_sy_bass_22.ogg",70
Sample,4344,0,"08b_sy_bass_23.ogg",70
Sample,4344,0,"08a_sy_bass_23.ogg",70
Sample,4448,0,"08b_sy_bass_24.ogg",70
Sample,4448,0,"08a_sy_bass_24.ogg",70
Sample,4551,0,"08b_sy_bass_25.ogg",70
Sample,4551,0,"08a_sy_bass_25.ogg",70
Sample,4551,0,"02_sy_bass_04.ogg",70
Sample,4551,0,"10_drums_kick.ogg",70
Sample,4655,0,"08b_sy_bass_26.ogg",70
Sample,4655,0,"08a_sy_bass_26.ogg",70
Sample,4758,0,"08a_sy_bass_27.ogg",70
Sample,4758,0,"08b_sy_bass_27.ogg",70
Sample,4862,0,"08a_sy_bass_28.ogg",70
Sample,4862,0,"08b_sy_bass_28.ogg",70
Sample,4965,0,"08a_sy_bass_29.ogg",70
Sample,4965,0,"02_sy_bass_05.ogg",70
Sample,4965,0,"10_drums_kick.ogg",70
Sample,4965,0,"08b_sy_bass_29.ogg",70
Sample,4965,0,"04b_pp_05.ogg",70
Sample,4965,0,"04a_pp_03.ogg",70
Sample,5068,0,"08a_sy_bass_30.ogg",70
Sample,5068,0,"08b_sy_bass_30.ogg",70
Sample,5172,0,"08a_sy_bass_31.ogg",70
Sample,5172,0,"08b_sy_bass_31.ogg",70
Sample,5275,0,"08a_sy_bass_32.ogg",70
Sample,5275,0,"08b_sy_bass_32.ogg",70
Sample,5379,0,"08a_sy_bass_33.ogg",70
Sample,5379,0,"08b_sy_bass_33.ogg",70
Sample,5379,0,"02_sy_bass_05.ogg",70
Sample,5379,0,"10_drums_kick.ogg",70
Sample,5586,0,"08b_sy_bass_34.ogg",70
Sample,5586,0,"08a_sy_bass_34.ogg",70
Sample,5689,0,"08a_sy_bass_35.ogg",70
Sample,5689,0,"08b_sy_bass_35.ogg",70
Sample,5793,0,"10_drums_kick.ogg",70
Sample,5793,0,"02_sy_bass_05.ogg",70
Sample,5896,0,"08b_sy_bass_36.ogg",70
Sample,5896,0,"08a_sy_bass_36.ogg",70
Sample,6000,0,"08b_sy_bass_37.ogg",70
Sample,6000,0,"08a_sy_bass_37.ogg",70
Sample,6103,0,"08b_sy_bass_38.ogg",70
Sample,6103,0,"08a_sy_bass_38.ogg",70
Sample,6206,0,"08a_sy_bass_39.ogg",70
Sample,6206,0,"08b_sy_bass_39.ogg",70
Sample,6206,0,"02_sy_bass_05.ogg",70
Sample,6206,0,"10_drums_kick.ogg",70
Sample,6310,0,"08a_sy_bass_40.ogg",70
Sample,6310,0,"08b_sy_bass_40.ogg",70
Sample,6413,0,"08a_sy_bass_41.ogg",70
Sample,6413,0,"08b_sy_bass_41.ogg",70
Sample,6517,0,"08a_sy_bass_42.ogg",70
Sample,6517,0,"08b_sy_bass_42.ogg",70
Sample,6620,0,"08a_sy_bass_43.ogg",70
Sample,6620,0,"02_sy_bass_05.ogg",70
Sample,6620,0,"10_drums_kick.ogg",70
Sample,6620,0,"08b_sy_bass_43.ogg",70
Sample,6620,0,"04b_pp_05.ogg",70
Sample,6620,0,"04a_pp_04.ogg",70
Sample,6724,0,"08b_sy_bass_44.ogg",70
Sample,6724,0,"08a_sy_bass_44.ogg",70
Sample,6827,0,"08b_sy_bass_45.ogg",70
Sample,6827,0,"08a_sy_bass_45.ogg",70
Sample,6931,0,"08b_sy_bass_46.ogg",70
Sample,6931,0,"08a_sy_bass_46.ogg",70
Sample,7034,0,"02_sy_bass_05.ogg",70
Sample,7034,0,"08a_sy_bass_47.ogg",70
Sample,7034,0,"08b_sy_bass_47.ogg",70
Sample,7034,0,"10_drums_kick.ogg",70
Sample,7241,0,"08a_sy_bass_48.ogg",70
Sample,7241,0,"08b_sy_bass_48.ogg",70
Sample,7344,0,"08a_sy_bass_49.ogg",70
Sample,7344,0,"08b_sy_bass_49.ogg",70
Sample,7448,0,"10_drums_kick.ogg",70
Sample,7448,0,"02_sy_bass_02.ogg",70
Sample,7551,0,"08b_sy_bass_50.ogg",70
Sample,7551,0,"08a_sy_bass_50.ogg",70
Sample,7655,0,"08b_sy_bass_51.ogg",70
Sample,7655,0,"08a_sy_bass_51.ogg",70
Sample,7758,0,"08b_sy_bass_52.ogg",70
Sample,7758,0,"08a_sy_bass_52.ogg",70
Sample,7862,0,"08b_sy_bass_53.ogg",70
Sample,7862,0,"08a_sy_bass_53.ogg",70
Sample,7862,0,"02_sy_bass_02.ogg",70
Sample,7862,0,"10_drums_kick.ogg",70
Sample,7965,0,"08b_sy_bass_54.ogg",70
Sample,7965,0,"08a_sy_bass_54.ogg",70
Sample,8068,0,"08a_sy_bass_55.ogg",70
Sample,8068,0,"08b_sy_bass_55.ogg",70
Sample,8172,0,"08a_sy_bass_56.ogg",70
Sample,8172,0,"08b_sy_bass_56.ogg",70
Sample,8275,0,"08a_sy_bass_57.ogg",70
Sample,8275,0,"02_sy_bass_03.ogg",70
Sample,8275,0,"10_drums_kick.ogg",70
Sample,8275,0,"08b_sy_bass_57.ogg",70
Sample,8275,0,"04b_pp_03.ogg",70
Sample,8275,0,"04a_pp_01.ogg",70
Sample,8379,0,"08a_sy_bass_58.ogg",70
Sample,8379,0,"08b_sy_bass_58.ogg",70
Sample,8482,0,"08a_sy_bass_59.ogg",70
Sample,8482,0,"08b_sy_bass_59.ogg",70
Sample,8586,0,"08a_sy_bass_60.ogg",70
Sample,8586,0,"08b_sy_bass_60.ogg",70
Sample,8689,0,"02_sy_bass_03.ogg",70
Sample,8689,0,"08a_sy_bass_61.ogg",70
Sample,8689,0,"08b_sy_bass_61.ogg",70
Sample,8689,0,"10_drums_kick.ogg",70
Sample,8896,0,"08b_sy_bass_62.ogg",70
Sample,8896,0,"08a_sy_bass_62.ogg",70
Sample,9000,0,"08a_sy_bass_63.ogg",70
Sample,9000,0,"08b_sy_bass_63.ogg",70
Sample,9103,0,"10_drums_kick.ogg",70
Sample,9103,0,"02_sy_bass_03.ogg",70
Sample,9206,0,"08a_sy_bass_64.ogg",70
Sample,9206,0,"08b_sy_bass_64.ogg",70
Sample,9310,0,"08b_sy_bass_65.ogg",70
Sample,9310,0,"08a_sy_bass_65.ogg",70
Sample,9413,0,"08b_sy_bass_66.ogg",70
Sample,9413,0,"08a_sy_bass_66.ogg",70
Sample,9517,0,"08b_sy_bass_67.ogg",70
Sample,9517,0,"02_sy_bass_03.ogg",70
Sample,9517,0,"08a_sy_bass_67.ogg",70
Sample,9517,0,"10_drums_kick.ogg",70
Sample,9620,0,"08a_sy_bass_68.ogg",70
Sample,9620,0,"08b_sy_bass_68.ogg",70
Sample,9724,0,"08b_sy_bass_69.ogg",70
Sample,9724,0,"08a_sy_bass_69.ogg",70
Sample,9827,0,"08a_sy_bass_70.ogg",70
Sample,9827,0,"08b_sy_bass_70.ogg",70
Sample,9931,0,"08a_sy_bass_71.ogg",70
Sample,9931,0,"02_sy_bass_04.ogg",70
Sample,9931,0,"10_drums_kick.ogg",70
Sample,9931,0,"08b_sy_bass_71.ogg",70
Sample,9931,0,"04b_pp_04.ogg",70
Sample,9931,0,"04a_pp_02.ogg",70
Sample,10034,0,"08b_sy_bass_72.ogg",70
Sample,10034,0,"08a_sy_bass_72.ogg",70
Sample,10137,0,"08a_sy_bass_73.ogg",70
Sample,10137,0,"08b_sy_bass_73.ogg",70
Sample,10241,0,"08a_sy_bass_74.ogg",70
